"Average Prices and Volumes of Sales","","","","","","","","","",""
"By pcSector for county - GREATER LONDON","","","","","","","","","",""
"2023","","","","","","","","","",""
"Age: any","","","","","","","","","",""
"Report created on: 2024-04-18","","","","","","","","","",""
"","Detached","Sales","Semi-det","Sales","Terraced","Sales","Flat/mais","Sales","Overall average","Total sales"
"BR1 1","780000","1","0","0","0","0","298432","22","319370","23"
"BR1 2","1337573","28","693906","16","561000","19","534278","27","818211","90"
"BR1 3","717500","4","761858","13","545355","31","308956","68","436975","116"
"BR1 4","775717","12","697285","27","432744","46","269790","19","511226","104"
"BR1 5","783333","3","512523","22","416017","73","278200","5","440638","103"
"BR2 0","1010539","17","657739","23","564532","28","334281","57","537345","125"
"BR2 6","2063278","16","632437","4","485000","1","515600","5","1484815","26"
"BR2 7","983125","8","701461","44","536283","6","691166","7","719771","65"
"BR2 8","938208","12","642000","32","486077","13","345667","3","652642","60"
"BR2 9","933984","16","622190","25","533033","45","300837","41","526137","127"
"BR3 1","1025250","8","906240","20","738750","10","345944","80","520253","118"
"BR3 3","1416500","13","738033","30","680514","37","399000","5","796818","85"
"BR3 4","1208125","4","772516","33","569021","80","308549","53","542355","170"
"BR3 5","1138750","8","932500","2","615909","11","368291","67","482108","88"
"BR3 6","1206841","22","1066389","9","879000","5","422771","32","795171","68"
"BR4 0","939667","9","712963","30","618917","18","261400","10","650752","67"
"BR4 9","874412","17","662027","43","648500","2","299042","12","651590","74"
"BR5 1","1101762","21","684413","80","535833","3","316150","10","725079","114"
"BR5 2","657086","7","447845","58","399047","32","264341","22","413106","119"
"BR5 3","550000","1","444339","28","352172","38","277417","12","375988","79"
"BR5 4","562857","7","454033","45","374146","24","294583","6","428274","82"
"BR6 0","1012917","24","638656","32","423231","13","338960","38","589995","107"
"BR6 6","823981","16","560417","24","439073","15","295000","3","588014","58"
"BR6 7","965369","25","619372","23","502769","13","336182","11","675191","72"
"BR6 8","1144021","33","682000","29","473125","16","233136","11","760283","89"
"BR6 9","719524","44","610408","65","490333","18","271250","2","625613","129"
"BR7 5","1479115","26","658000","9","675674","19","409550","30","827420","84"
"BR7 6","1021769","26","630543","23","551500","36","364714","21","646995","106"
"BR8 7","0","0","0","0","420250","4","0","0","420250","4"
"CR0 0","0","0","384881","31","398111","9","260625","4","376291","44"
"CR0 1","770000","1","474583","6","398661","23","292881","54","340503","84"
"CR0 2","0","0","471455","6","365024","31","277772","83","309996","120"
"CR0 3","0","0","399187","16","378693","52","253000","10","366783","78"
"CR0 4","548333","3","525290","31","407147","34","255390","43","385169","111"
"CR0 5","947324","17","612150","8","514349","22","294894","33","525611","80"
"CR0 6","648125","4","504570","26","437959","75","267109","68","385674","173"
"CR0 7","746653","7","514574","31","476327","48","319639","18","478803","104"
"CR0 8","591962","13","633412","34","463571","14","293638","21","510828","82"
"CR0 9","432100","1","563071","7","372013","35","237500","38","326161","81"
"CR2 0","914140","25","627367","15","456152","19","293795","22","585116","81"
"CR2 6","703000","2","481338","20","426707","22","312084","65","373448","109"
"CR2 7","885084","16","635333","18","468375","8","284740","48","477909","90"
"CR2 8","738667","15","545564","46","428406","16","344441","17","520063","94"
"CR2 9","707273","11","573187","24","518143","7","405000","3","586189","45"
"CR3 0","539167","3","528375","4","0","0","0","0","533000","7"
"CR4 1","570000","1","449583","12","488125","40","274413","14","437788","67"
"CR4 2","472500","2","492483","3","522995","32","324812","24","441865","61"
"CR4 3","0","0","534500","8","470640","41","269867","43","382354","92"
"CR4 4","582500","2","514300","10","445379","27","267900","30","382177","69"
"CR5 1","661009","29","552976","21","542000","8","260583","6","573145","64"
"CR5 2","783326","29","624437","19","474312","16","263091","22","557648","86"
"CR5 3","742857","7","601078","27","480464","14","277000","7","547175","55"
"CR6 9","0","0","571000","2","600000","2","0","0","585500","4"
"CR7 6","910000","1","500000","1","441283","30","188375","4","427833","36"
"CR7 7","685000","1","446207","7","412599","64","227000","17","382851","89"
"CR7 8","487500","2","503000","14","412776","57","267958","31","383192","104"
"CR8 1","933306","18","640929","14","480000","4","311805","9","677750","45"
"CR8 2","896842","19","567971","17","452161","19","267215","34","498561","89"
"CR8 3","1175700","20","951500","4","0","0","306227","11","876814","35"
"CR8 4","840845","21","600417","12","403500","4","291896","13","605428","50"
"CR8 5","868759","29","493338","17","437875","14","281767","15","585833","75"
"DA1 3","643750","2","414167","9","422600","5","229643","7","379804","23"
"DA1 4","460000","2","411167","27","362053","34","224516","31","332886","94"
"DA14 4","916000","8","584684","49","487014","21","272818","49","469078","127"
"DA14 5","673750","2","426081","20","377667","15","235000","4","401808","41"
"DA14 6","667500","2","539556","18","412500","8","294469","50","372698","78"
"DA15 7","1030037","3","656762","21","515937","8","247878","27","469531","59"
"DA15 8","759750","10","503420","48","454959","72","240307","13","473026","143"
"DA15 9","718000","1","626760","25","423107","42","227332","4","487039","72"
"DA16 1","567500","4","472206","62","452363","22","252908","6","457619","94"
"DA16 2","571500","3","494584","61","453754","40","328333","3","476815","107"
"DA16 3","582500","2","467819","27","426293","23","200341","22","378491","74"
"DA17 5","583500","9","435437","16","376005","50","238177","31","362285","106"
"DA17 6","499400","5","447500","4","377521","24","218446","28","319082","61"
"DA18 4","0","0","0","0","327250","10","180000","3","293269","13"
"DA5 1","728833","12","587613","19","501444","9","273450","20","498211","60"
"DA5 2","705750","4","632667","3","550750","2","303000","1","612550","10"
"DA5 3","771333","6","584712","26","477369","31","370000","2","544138","65"
"DA6 7","647000","4","531629","14","512143","7","288094","32","400611","57"
"DA6 8","660000","8","549917","18","472067","15","266694","18","458644","59"
