postcode,detached_2018,semi-det_2018,terraced_2018,Flat/mais_2018,average_2018,detached_2019,semi-det_2019,terraced_2019,Flat/mais_2019,average_2019,detached_2009,semi-det_2009,terraced_2009,Flat/mais_2009,average_2009,detached_2021,semi-det_2021,terraced_2021,Flat/mais_2021,average_2021,detached_2020,semi-det_2020,terraced_2020,Flat/mais_2020,average_2020,detached_2008,semi-det_2008,terraced_2008,Flat/mais_2008,average_2008,detached_2022,semi-det_2022,terraced_2022,Flat/mais_2022,average_2022,detached_2023,semi-det_2023,terraced_2023,Flat/mais_2023,average_2023,detached_2012,semi-det_2012,terraced_2012,Flat/mais_2012,average_2012,detached_2007,semi-det_2007,terraced_2007,Flat/mais_2007,average_2007,detached_2013,semi-det_2013,terraced_2013,Flat/mais_2013,average_2013,detached_2011,semi-det_2011,terraced_2011,Flat/mais_2011,average_2011,detached_2010,semi-det_2010,terraced_2010,Flat/mais_2010,average_2010,detached_2014,semi-det_2014,terraced_2014,Flat/mais_2014,average_2014,detached_2015,semi-det_2015,terraced_2015,Flat/mais_2015,average_2015,detached_2017,semi-det_2017,terraced_2017,Flat/mais_2017,average_2017,detached_2016,semi-det_2016,terraced_2016,Flat/mais_2016,average_2016
BR1 1,0,450000,465000,295808,307357,0,221000,300000,294426,291476,518750,0,202500,168000,245050,0,415000,0,283841,294771,0,300000,487000,233000,323250,360000,348750,328999,214058,257103,1030000,0,0,299652,330083,780000,0,0,298432,319370,0,350000,322500,213100,232861,1272500,269950,344498,194045,266590,372500,0,241528,188150,214674,0,259500,251875,182045,209184,0,250000,327500,185879,238429,0,387000,335747,218066,235980,0,585000,0,298651,300924,0,0,439167,309829,318452,631000,482500,393500,334878,347531
BR1 2,1090677,638707,478136,391204,723402,987903,596300,501136,378691,681879,718098,405484,273271,261543,474033,1258220,703622,489083,421679,833731,1110967,655446,493155,332902,682200,808542,412060,297366,257150,559337,1385946,835039,581912,456039,864177,1337573,693906,561000,534278,818211,686033,387850,302772,233997,451971,703154,389063,304534,249194,441287,892559,424016,324152,261316,535853,816603,431960,285158,281846,516925,722904,360297,310531,258959,470345,919746,476639,389572,348135,590718,991636,524005,417308,361417,651004,1052802,619908,478006,399909,744905,1003584,555532,459537,405571,652608
BR1 3,1041147,589639,497904,326397,460131,999060,629654,496768,338610,458369,638072,350183,291611,192905,255234,1070333,720762,516483,331896,493252,995733,694875,510268,350402,487411,475893,360010,284929,205009,258264,1362852,807244,512852,347415,527187,717500,761858,545355,308956,436975,782833,420565,299773,211000,308026,667000,398120,294974,215112,294785,796000,474947,322104,216211,293101,763396,391965,300547,191337,300851,657826,422548,294176,200453,302442,874929,492911,378397,248213,357310,1196810,588376,474595,290879,432463,917167,675558,533230,359968,447487,1102900,658481,582116,366506,460979
BR1 4,663392,539686,375085,293281,423306,677300,565671,370906,291038,411219,430677,315350,200306,169200,226504,890864,636028,422276,310540,490946,665042,627850,394374,282977,459387,525541,305498,229129,188206,247619,921300,630436,462898,314648,476843,775717,697285,432744,269790,511226,471182,397492,222569,187143,268684,536905,328641,232263,194703,264281,606905,410274,250711,187237,298008,530507,336182,234583,169571,285265,493333,338154,216815,182136,257704,643548,456857,284321,218787,333434,712142,494715,327641,268264,371410,744050,610648,377477,317416,421878,767836,573581,371503,278928,412248
BR1 5,430000,469413,344459,262583,357380,558167,465810,343291,234045,360938,355500,236572,191703,138446,193900,585000,503491,378331,243269,404375,572333,502516,377760,255545,404248,554000,275100,210429,160229,216766,575000,549565,425933,289071,455622,783333,512523,416017,278200,440638,490000,270699,202078,152900,222930,376389,280402,210697,152722,223817,366667,321427,219271,165246,245787,483250,265082,196040,136875,221046,395000,249729,209894,140450,214393,402000,331443,262175,166061,270800,383125,391234,297866,213630,314551,616249,452169,356583,248496,370622,595000,447940,341450,261088,365612
BR2 0,890722,629422,497305,333817,504588,956812,609544,496171,330138,488442,543158,343510,296470,195683,281922,904405,697134,544921,345107,510014,910797,665449,518877,343848,537789,608810,379469,270537,221274,294470,985333,783216,574160,351284,526272,1010539,657739,564532,334281,537345,603574,417371,292767,222807,319063,600497,360717,278528,214898,297664,619415,426742,339321,225855,335233,584392,399382,287738,224406,306176,586529,369714,279633,220191,309017,710884,515230,421154,267055,384767,794119,546484,436762,295727,422525,850074,653970,500539,347427,517309,761495,642526,488241,331111,449588
BR2 6,1392655,740000,468400,868275,1164009,1127740,575500,472000,436667,867071,892630,350167,237372,465214,704640,1466101,831600,435000,803167,1187258,1227375,665000,411000,519000,1026667,655532,354000,307333,462974,504048,1548100,682500,559083,682000,1155900,2063278,632437,485000,515600,1484815,1014628,412000,279333,458333,805926,1204949,361586,286800,496818,866482,1040920,379333,262500,372875,858162,1170776,555000,271247,826444,1024833,787521,516372,341375,232500,672646,855896,600250,455650,483944,734614,1151707,519400,290000,408400,951672,1126119,595833,494375,609375,911145,1032364,579714,390714,647437,821785
BR2 7,723667,582833,474545,435000,595605,820620,590412,416250,251375,606428,538375,330480,228268,170000,345829,811524,657578,513341,364000,607676,772455,617355,460025,284333,586376,499284,346188,257125,199281,343951,916083,744530,626611,375208,703284,983125,701461,536283,691166,719771,512430,389849,290375,195590,381764,511375,350830,274794,198911,349323,580545,403247,331532,203136,408180,551133,361517,246226,262681,357993,488783,363053,256640,369556,377470,672271,477420,373646,303675,487226,732458,532659,349333,303423,538335,913028,591113,440761,422497,583299,881881,598341,603075,437087,637009
BR2 8,577600,495076,406351,316152,453467,733403,512778,404461,220262,499282,485075,292510,248768,148792,296381,847183,552592,453543,294710,544311,643288,536310,437871,231306,519010,391182,294729,247879,151866,266839,867416,609674,500380,316625,592931,938208,642000,486077,345667,652642,510743,313447,260833,150825,318121,468403,298208,256112,168930,294544,498636,332740,286845,188475,330329,517990,310551,261916,178909,324309,514416,313469,255823,135035,315130,595264,412576,330794,222282,385056,625921,439815,369416,243812,422602,768289,514308,405214,264911,495788,693519,491250,416432,263057,474335
BR2 9,750415,499805,451189,317071,434290,678433,515419,444029,343124,418986,576900,291855,235273,169450,260014,872538,582320,497005,333397,483156,779113,506726,474319,346020,466331,532684,298626,271947,184120,287959,1015773,623066,543377,331258,524103,933984,622190,533033,300837,526137,549050,345974,310110,210425,292676,485676,307458,267461,218912,283181,609937,371440,323639,219980,311877,527742,333016,278620,182435,292822,463071,306945,261435,183083,282491,600464,449929,385446,242788,352904,658235,482695,403988,271190,356152,771426,505628,447533,288260,441227,804816,510100,437302,298720,414492
BR3 1,919200,854907,524562,318662,463946,1087769,782752,572040,318308,515760,548400,415656,304791,203188,263244,1029731,914062,563360,354589,529780,1084889,895778,595340,341737,531829,654000,465526,316000,219349,282754,1417667,944645,707717,353249,553817,1025250,906240,738750,345944,520253,686800,516979,371635,220312,320673,562646,483683,339089,224094,279461,620647,599135,394652,234767,363766,735000,477565,343565,206890,290828,520750,456449,338925,213600,301565,853927,659535,538728,272952,395520,926717,727560,506083,307816,524095,981663,767081,593750,343011,523951,1033889,770943,533615,338921,448506
